"","x"
"1956","Şapte fete, nouă vedre şi le arde gâtul de sete."
"1957","Şederea-i neaverea, odihna-i rugina."
"1958","Şezi azi, şezi mâine, lucrul tot 'napoi rămâne."
"1959","Toată ziua doarme leneşul şi noaptea spune că-i trudit."
"1960","Leneşul trage mâţa de coadă."
"1961","Trândăvia e muma tuturor răutăţilor."
"1962","Trântorul mănâncă miere de-a gata."
"1963","Fricosul are harţag la mămăligă rece."
"1964","Arţagul îşi găseşte pârţagul."
"1965","Laşul îşi pune coada pe spinare."
"1966","Fricosul nu e bun de nicio brânză."
"1967","Fricosului îi ţâţâie venele."
"1968","Fricosului îi tremură balamalele."
"1969","Fricosului îi îngheaţă măduva în ciolane."
"1970","Fricosului îi intră frigul în oase."
"1971","Laşul fuge iepureşte."
"1972","Laşul are inimă verde."
"1973","Laşul are inimă de ceară."
"1974","Pe leneş viermii îl mănâncă de viu."
"1975","Vede arzând pe el casa şi îi e lene să iasă."
"1976","Vătăşel de mahală a plecat a colinda."
"1977","Vara-ntins la umbră doarme şi iarna moare de foame."
"1978","Când să fugă şi el, s-a terminat pământul."
"1979","Cel fricos îi înfricoşează şi pe alţii."
"1980","Cine mai mult se teme, acela uită uşa deschisă."
"1981","Frica e mai mare decât spaima."
"1982","Frica întotdeauna aduce primejdie."
"1983","Fricosu' se teme şi de umbra lui."
"1984","La pomană năvală şi la război înapoi."
"1985","La război - coadă şi la fugă - fruntea."
"1986","Să curgă ca Dunărea şi tot nu-i ajunge lacomului."
"1987","Omul îndărătnic toate le face pe dos."
"1988","E îndărătnic ca un catâr."
"1989","Omul îndărătnic şi pizmaş ca racul îşi mănâncă singur carnea."
"1990","Cine se grăbeşte, se poticneşte."
"1991","Voinic la danţ şi la război în şanţ."
"1992","Toată lumea e voinică atunci când duşmanul fuge."
"1993","Fricosul se teme şi de toate buruienile."
"1994","Se face viteaz, când îl bat alţii."
"1995","S-ar duce în pădure, dar se teme de şarpe."
"1996","Fricosul poartă căciulă degeaba."
"1997","Până la luptă face gură şi-apoi se teme de-mpuşcătură."
"1998","Lacomul se închină pântecelui."
"1999","Nu merge la soare de frică să nu i se topească nasul."
"2000","Lăudărosul are ceaţă în creieri."
"2001","Lăudărosul are fumuri în cap."
"2002","Fiecare ştie unde-l strânge ciubota."
"2003","E prost ca o ciubotă."
"2004","Lăudărosul se crede buricul pământului."
"2005","Lăudărosul nu-şi încape în piele."
"2006","Lăudărosul se înfoaie ca varza."
"2007","Atât l-au lăudat, până i-au crescut coarne."
"2008","Lăudărosul ţine nasul sus."
"2009","Lăudărosul umblă cu capul mare."
"2010","Cine pe sine se laudă, acela mai tare se-njoseşte."
"2011","Fala mare traistă n-are."
"2012","Omul lacom e cu un ochi la făină şi cu altul la slănină."
"2013","Lacomului îi face burta butie şi gura pâlnie."
"2014","Lacomul are burtă de iapă."
"2015","Lacomul doreşte câte-n lună şi-n stele."
"2016","Umblă cu capul pe sus ca spicul cel gol."
"2017","S-a ales cu fudulia goală."
"2018","Omului fudul nu-i ajungi cu prăjina la nas."
"2019","Mândrului îi stă Dumnezeu împotrivă."
"2020","Lăudărosului îi pute gura de minciuni."
"2021","Lăudărosul trage adesea ruşine."
"2022","Laudă-mă, gură, că ţi-oi da friptură!"
"2023","Fudulia mare mămăligă n-are."
"2024","Lacomul a lins până a pus vasul cu fundul în sus."
"2025","Lacomul mănâncă banii cu lingura."
"2026","Lacomul a mâncat pită din nouă cuptoare."
"2027","A mâncat şi mielul, şi purcelul, şi peştele călugărului, şi tot mai vrea."
"2028","Omul lacom ar pune lumea în pântece."
"2029","Are să zică pântecele omului lacom c-a-nnebunit gura."
"2030","Lacomul ar scoate două piei de pe o oaie."
"2031","Azi ai mânca un cal, mâine doi."
"2032","Cică mălaiul nu-i copt şi el înfulecă cât opt."
"2033","Cine apucă multe, puţin are."
"2034","Cine are mână lungă, pierde şi ce are-n pungă."
"2035","Cine ia o brazdă lată, rămâne cu ea nearată."
"2036","Cine îmbrăţişează multe, puţine grămădeşte."
"2037","Linguşitorul adoarme cu gândul numai la sine."
"2038","Cine lăcomeşte, nu se pricopseşte."
"2039","Cine muşcă bucata mare, singur se-neacă."
"2040","Dă cu o mână şi ia cu amândouă."
"2041","Pântecele se satură, dar ochii niciodată."
"2042","Mănâncă şi bucăţica calicului."
"2043","Lăcomia sparge sacul."
"2044","Lăcomia este rea şi păgubitoare boală."
"2045","Lăcomia de la aur la gunoi şi de la diamant până la sticlă se întinde."
"2046","Lacomului, cât să-i dai, el nu zice ba."
"2047","Lacomul, şi sătul, flămând este."
"2048","Lacomul se plânge de gură, că n-are măsură."
"2049","Lacomul nici sieşi, nici altuia nu e de folos."
"2050","Lacomul mai mult pierde şi leneşul mai mult aleargă."
"2051","Pe lacom îl scurmă paralele în pungă."
"2052","Pe lacom îl doare în burtă şi mănâncă o turtă."
"2053","Dobânda lungă rupe ciochina."
"2054","Lacomul, de ce are, de ce mai vrea să aibă."
"2055","Decât să rămână brânza, mai bine să crape rânza."
"2056","Linguşitorul este izvorul minciunilor."
"2057","Linguşitorul îşi apără numai pielea lui."
"2058","Linguşitorul îşi unge buzele cu miere şi-ţi sfâşie inima cu ghearele."
"2059","Şiret pe şiret cunoaşte."
"2060","Linguşitorul numai la îmbogăţirea lui se gândeşte."
"2061","Linguşitorul nu se pripăşeşte pe lângă cei săraci."
"2062","Omul viclean se îmbracă când în piele de oaie, când în piele de vulpe."
"2063","Vicleanul are căutătură de vulpe."
"2064","Omul viclean are suflet pestriţ."
"2065","Şiretul e taler cu două feţe."
"2066","Linguşitorul e căţel de două uşi."
"2067","Musafirul obraznic scoate gazda din casă."
"2068","E ruşine pentru acel ce linge unde a scuipat."
"2069","I-a crăpat obrazul, dar ruşinea tot nu i-a pierit."
"2070","Ruşinosul linge osul."
"2071","Ruşinosul roade osul."
"2072","Poţi da cu tunul la urechea surdului."
"2073","A înghiţit un ac şi a scos un fier de plug."
"2074","Mincinosul amăgeşte de usucă pământul."
"2075","A pierdut cinstea în ocolul cu minciuni."
"2076","Umblă cu gura căscată după minciuni."
"2077","Umblă cu minciuna-n dinţi."
"2078","Umblă cu traista cu minciuni."
"2079","Când se înteţesc minciunile, se apropie naşterea."
"2080","Cel ce ascultă la minciuni e ca şi cel ce paşte vânt."
"2081","Cine a minţit o dată şi-a mâncat credinţa toată."
"2082","Cine înşală o dată, înşală şi a doua oară."
"2083","Cine minţeşte, lumea de el se fereşte."
"2084","Cine poartă burluiul cu minciuni, i se sparge odată-n drum."
"2085","Cine se laudă că nu-i mincinos, trebuie crezut pe jumătate."
"2086","Cine se-nvaţă mincinos, când spune adevărul se bolnăveşte."
"2087","Cine spune minciuna, e ca şi cel care fură."
"2088","Cine spune minciună, întâi obrazul îşi ruşinează, iar mai pe urmă sufletul îşi ucide."
"2089","Cine vorbeşte multe, ori ştie multe ori minte multe."
"2090","Cine vorbeşte mult, vorbeşte şi prostii."
"2091","Nesocotitul se duce la vie cu struguri în poală."
"2092","Nesocotitul se duce la fântână fără căldare."
"2093","Nesocotitul se culcă în tindă ca să-şi scurteze din cale."
"2094","Nesocotitul seamănă castraveţi pe pereţi."
"2095","Nesocotitul seamănă bob pe sobă şi mazăre sub laiţă."
"2096","Cine umblă după minciuni, nu mănâncă nici gras, nici dulce."
"2097","Cu cartea-n mână şi cu minciuna-n gură."
"2098","Cu minciuna prânzeşti, de cinat nu cinezi."
"2099","Dă cu negru peste verde, că stăpânul nu ne vede."
"2100","De multe ori din ţânţar lumea face armăsar."
"2101","Sărbătorile le face zile de lucru şi zilele de lucru sărbători."
"2102","Nesocotitul s-a dus la păscut cu viţei şi a venit cu bobocei."
"2103","Mincinosul face din lână laie, lână albă."
"2104","Mincinosul face noaptea zi şi ziua noapte."
"2105","Îi întrebi de bob şi-ţi răspund mazăre."
"2106","Îi merge minciuna în picioare."
"2107","Minciuna încheagă apa în fântâni."
"2108","Mincinos pe mincinos greu înşală."
"2109","Mincinosul când spune, adevărul se bolnăveşte."
"2110","Mincinosul, cu d-a sila, face musca cât cămila."
"2111","Mincinosul încornorează ţânţarul ţi-l măreşte cât măgarul."
"2112","Mincinosul se îmbolnăveşte dacă nu spune minciuni."
"2113","Minciuna are şi ea loc pe unde se trece."
"2114","Minciuna a umblat cât a umblat, până i s-a înfundat."
"2115","Minciuna măgulitoare place celui rău."
"2116","Minciuna se afundă ca plumbul."
"2117","Minciuna zboară ca glontele."
"2118","Minte de stă soarele în loc."
"2119","O minciună mică poate da naştere la o primejdie mare."
"2120","O minciună spusă cere alte şapte ca să fie acoperită."
"2121","O să se mântuie el odată sacul cu minciuni."
"2122","Pentru o minciună se face moarte de om."
"2123","Şi minciuna-i vorbă."
"2124","Toarnă la minciuni de merg cu picioarele."
"2125","Ţine capra de coarne şi jură că-i şută."
"2126","Umblă cu plosca cu minciuni."
"2127","Nechibzuitul vântură făină."
"2128","Nechibzuitul vinde castraveţi la grădinar."
"2129","Nechibzuitul vinde peştele în baltă."
"2130","Baba bătrână are şapte vineri pe săptămână."
"2131","Nechibzuitul bate apa să iasă unt."
"2132","Nechibzuitul bate crângu' să sară iepurii."
"2133","Nechibzuitul caută luleaua şi ea e în dinţi."
"2134","Nechibzuitul caută să împletească lâna pe sub mătase."
"2135","Cel ce începe multe, nu isprăveşte nimic."
"2136","Cel ce tot alege, pe urmă culege."
"2137","Cine deschide ochii după ce cumpără, cumpără totdeauna marfă proastă."
"2138","Cine nu ştie cărarea, nu ştie nici drumul."
"2139","Eu îl trimit la foc şi el îmi aduce busuioc."
"2140","După fete tot alergi şi nasul nu ştii să ţi-l ştergi."
"2141","Cine umblă pe drum cu gândul acasă, îşi pierde căciula în târg."
"2142","Mulţi nerozi pasc vântul."
"2143","N-are după ce bea apă şi el se scobeşte în măsele."
"2144","Nesocotitul găseşte bucurie în a face rele."
"2145","Pentr-un petic de moşie se strică un sac de hârtie."
"2146","Cine se naşte breaz, breaz moare."
"2147","Chiar prostul, tăcând, de înţelept toţi îl cred."
"2148","Ce poţi face, dacă ai bani şi n-ai minte?"
"2149","Ce folos de noi veşminte, dacă deloc nu ai minte?"
"2150","Ce face un prost nu pot desface zece înţelepţi."
"2151","Când te iei după un prost, mai mare prost eşti."
"2152","Cap mare, minte puţină."
"2153","Au pierdut deştepţii mintea şi proştii au găsit-o."
"2154","Copilul râde şi când nu e de râs."
"2155","Cu alifia nu se lecuieşte prostia."
"2156","Cu omul prost n-o mai scoţi la capăt."
"2157","Cu omul prost să nu ai a face nici în clin, nici în mânecă."
"2158","De omul prost râd şi câinii."
"2159","Din nebunia străină te înveţi minte."
"2160","E greu când ajungi să cumperi orz de la gâşte."
"2161","Fiecare nebun ştie să câştige bani, dar nu ştie să-i păstreze."
"2162","Frunză verde solz de peşte, apa-n vale nu cotleşte, omul prost nu-mbătrâneşte."
"2163","Gândurile multe fără treabă dovedesc o minte slabă."
"2164","Nebunul nu asudă nici la deal, nici la vale."
"2165","Nebunul bate balta şi tot pe el se stropeşte."
"2166","Nebunii tulbură apa şi înţelepţii pescuiesc."
"2167","Nebunia din născare leac n-are."
"2168","Minte la nebun, cât glas la un peşte."
"2169","Mintea prostului se cântăreşte cu prostia deşteptului."
"2170","Mintea de-ar creşte pe toate cărările, ar paşte-o şi măgarii."
"2171","Îi curg mucii pe nas şi nebunul zice că-i untură."
"2172","Iuţeala la mânie cade-n nebunie."
"2173","Râde vârşa de baltă şi nu vede că-i putrezeşte coada într-însa."
"2174","Râde vârşa de vârşog."
"2175","Râde ca mirele cel surd."
"2176","Nesocotitul pune puşca jos şi crede că prinde iepurele."
"2177","Nesocotitul pune căpăstrul în coada calului."
"2178","Toţi sapă, dar el duce câinii la apă."
"2179","Nesocotitul vinde moşia şi cumpără sanie."
"2180","Nechibzuitul vrea să facă fântână în pod."
"2181","Nebunul are greieruşi la cap."
"2182","Nebunul e cam sărit din grăunţe."
"2183","Prostul are cap fără hartă."
"2184","Prostul are cap de întors furci."
"2185","Prostul cere lână de la broască."
"2186","Prostul pare lovit cu leuca în cap."
"2187","Prostul umblă cu capul în traistă."
"2188","Prostul umblă cu capul între urechi."
"2189","Prostul are cap de crap şi creieri de iepure."
"2190","Prostul citeşte în stele şi dă în gropi."
"2191","Prostul dă două jumătăţi pe una întreagă."
"2192","Prostul dă foc casei ca să ardă şoarecii."
"2193","La aşa cap, aşa chiulaf."
"2194","Prostului îi zboară minţile pe dealuri."
"2195","Prostului îi mănâncă şi câinii din traistă."
"2196","Prostul se comportă de parcă i-a fugit un iepure din cap."
"2197","Işlicul e mare, dar capul e mic."
"2198","Nebunului nici să-i faci, nici să-ţi facă."
"2199","Nerodul frământă făina cu picioarele şi lutul cu mâna."
"2200","Nerodul întâi o croieşte, apoi se gândeşte."
"2201","Nerodul la orice fie pe loc zice că ştie."
"2202","Nici bleg, nici om întreg."
"2203","Numai prostul se supără de adevăr."
"2204","Numai proştii se tem de moarte."
"2205","Omul prost bun argat la casă a fost."
"2206","Omul prost se mânie repede."
"2207","Ori gură, ori văgăună, prostului îi e totuna."
"2208","Prostul, când îl bagi în seamă, se înalţă în sus de-o palmă."
"2209","Prostu-i prost şi în ziua de Paşti."
"2210","Prost se naşte, prost creşte, prost moare."
"2211","Prostia şi nerozia se rudesc cu nebunia."
"2212","Prostia din născare leac nu mai are."
"2213","Prost cu prost când trăieşte lesne se îngăduieşte."
"2214","Proasta se duce la moară şi se-ntoarce cu grăunţele-n poală."
"2215","Prostul prăpădeşte un bou pentru un ou."
"2216","Poţi să despici lemne pe capul prostului."
"2217","Pe prost nu-l poţi aduce la adevăr."
"2218","Pe proastă mintea n-o doare; ea se plânge de picioare."
"2219","Pentr-un boţ de mămăligă, râde prostul de se strică."
"2220","Pe cel prost bate-l cu toată pădurea, că tot prost rămâne."
"2221","Prostul parcă-i aruncat din furcă."
"2222","Prostul parcă e făcut la meliţă."
"2223","Prostul parcă are mintea în călcâie."
"2224","Nebunul parcă a mâncat mătrăgună."
"2225","Prostul este ca orbul când dă de perete."
"2226","Prostul face ce vede şi ce aude crede."
"2227","Prostul intră râzând şi iese plângând."
"2228","Prostul crede pe oricine mai prost decât dânsul."
"2229","Prostul când s-a făcut împărat, mai întâi pe tată-său l-a spânzurat."
"2230","Prostul întâi vorbeşte ş-apoi se gândeşte."
"2231","Prostul râde fără să ştie de ce."
"2232","Prostul râde singur de prostia lui."
"2233","Prostul se bagă-n frunte, cumintele stă de-o parte."
"2234","Prostul se cunoaşte după râs şi mers."
"2235","Prostul se cunoaşte după vorbă şi şiretul după ochi."
"2236","Prostul socoteşte că le ştie pe toate."
"2237","Prostul spune tot ce ştie."
"2238","Prostul taie copacul ca să-i mănânce rodul."
"2239","Proştii nu se seamănă, dar răsar singuri."
"2240","Râde ca prostul la pomană."
"2241","Se face prost şi-i prinde bine."
"2242","Prostul se pricepe ca măgarul la cântar."
"2243","Tare e deştept, când tace."
"2244","Tontul nu ştie ce-i contul."
"2245","Toţi proştii răstoarnă pământul."
"2246","Un nebun aruncă piatra în baltă şi zece cuminţi n-o pot scoate."
"2247","Prostul azvârle nucile-n pod cu furca."
"2248","Prostul taie tăieţei cu barda."
"2249","Nesocotitul dă cu barda în lună."
"2250","Averea strângătorului trece în mâna cheltuitorului."
"2251","Cine cheltuie peste ce câştigă, n-are-n casă mămăligă."
"2252","Ce mai atâta vorbă pentru un căuş de tărâţe."
"2253","Cine spune multe, spune mai puţin decât cel ce tace."
"2254","Cine nu cruţă paraua, nu cruţă nici galbenul."
"2255","Cine nu se îndură de un cui, pierde şi potcoava."
"2256","Strânge cu acul şi risipeşte cu lopata."
"2257","Verşi cu pumnul şi aduni câte unul."
"2258","Vinde cu toptanul să ia banii la anul."
"2259","Bea apă clocotită şi mănâncă foc."
"2260","Cine-i de treabă, cu cei răi nu se adună."
"2261","E bun numai când doarme."
"2262","Fapta cea rea, cândva, se pedepseşte."
"2263","I-a ieşit cuţitul prin sac."
"2264","Iute la minte, rău la fire."
"2265","Îi ies ghearele prin sac."
"2266","E pârjol pe unde trece omul rău."
"2267","În care cămaşă s-a mâniat, într-aceea s-a desmânia."
"2268","Lucrul rău piere greu."
"2269","Lucru' rău nu piere cu una cu două."
"2270","Mânia de cu seară s-o laşi pe dimineaţă."
"2271","Ochii zavistnicului văd şi ceea ce nu este."
"2272","Omul rău se cunoaşte de la o poştă."
"2273","Omului rău dă-i şi cămaşa şi fugi."
"2274","Pe oamenii răi nu-i iubeşte nimeni."
"2275","Pe tot ce omul rău pune mâna, se usucă."
"2276","Pielea rea şi răpănoasă - ori o bate, ori o lasă."
"2277","Pizma este ca şi caria în inima copacului."
"2278","Răul întotdeauna îşi primeşte pedeapsa."
"2279","Răul nu rămâne nepedepsit."
"2280","Răul nu trebuie răsplătit cu rău."
"2281","Răul se învaţă lesne."
"2282","Rupe mâţa-n două."
"2283","S-a mâniat Neagu pe sat şi trei zile n-a mâncat."
"2284","Sfada şi gâlceava aduc nenorociri."
"2285","Te vorbeşte de bine şi dă cu barda-n tine!"
"2286","Ura naşte ură."
"2287","Ura, zavistea şi frica nasc vicleşugul."
"2288","Zace de inimă de bun ce este."
"2289","Zavistia este mama tuturor răutăţilor în lumea aceasta."
"2290","Ascultă-l, dacă ai vreme."
"2291","Bolnavul multe zice, doctorul face ce ştie."
"2292","Bună ziua, căciulă, că stăpânul n-are gură."
"2293","Butoiul deşert sună mai tare."
"2294","Când sfetnicii se iau cu limbuţia, prăbuşesc împărăţia."
"2295","Cel care vorbeşte mult, face treabă puţină."
"2296","Cu cuvântul te mângâie, dar cu gândul te sfredeleşte."
"2297","Cu limbutul eşti în vânt, cu mutul în mormânt."
"2298","Din ochi miere, din gură fiere."
"2299","Din vorbă-n vorbă îţi aprinzi paie-n cap."
"2300","Grabnic la auzire, zăbavnic la grăire."
"2301","Grăieşte gura fără dânsul."
"2302","Grăieşte până îi ajunge gura la ureche."
"2303","Gura care singură pe sine se laudă, pute."
"2304","Gură are de vorbit, dar cap n-are de trăit."
"2305","Haideţi să vorbim degeaba, că tot n-avem nicio treabă."
"2306","Îi toacă gura meliţoiul."
"2307","Îi umblă gura fără el."
"2308","În faţă te linge, în dos te frige."
"2309","În faţă te unge şi în dos te frige."
"2310","Latră la lună."
"2311","L-au muşcat albinele de limbă."
"2312","Leagă tei de curmei şi vorbe fără temei."
"2313","Limba lungă — treabă scurtă."
"2314","Lumea o vede cât oul şi o face cât boul."
"2315","Nici somn lung fără visuri, nici vorbă multă fără minciună."
"2316","Nu-i scoţi vorba nici cu cârligul."
"2317","Nu spun nimănui, numai în piatră şi la moară."
"2318","Nu ştie să lege două cuvinte."
"2319","Omul care e flecar hodorogeşte ca un car."
"2320","Spune multe şi mărunte."
"2321","Unde auzi vorbă multă, acolo-i spor puţin, că şiretlicul o îneacă."
"2322","Unde-i vorbă multă, acolo neştiinţă cu mult mai multă."
"2323","Vorba de rău mai lesne se crede."
"2324","Vorba goală nu umple sacul."
"2325","Vorba multă nu e fără minciuni."
"2326","Vorba multă o rublă nu face."
"2327","Vorba spusă n-o mai poţi prinde."
"2328","Zice şi el când şi când câte un cuvânt, să nu-i fie de urât."
"2329","Azi o ceapă, mâine o iapă, poimâine herghelia toată."
"2330","Bagă-l în casă — te fură, dă-l afară — te înjură."
"2331","Cei ce fură, aceia mai tare jură."
"2332","Cine fură azi o ceapă, mâine fură şi o iapă."
"2333","Cine fură îşi ia răsplata."
"2334","Cine fură, nu cumpără, dar nici cinste nu are."
"2335","De când s-a învăţat a fura, îi este ruşine a cumpăra."
"2336","Din furat — tot sărac."
"2337","Fură oul de sub găină şi viţelul din vacă."
"2338","Fură şi jură."
"2339","Fură şi se dă de păgubaş."
"2340","Hoţ de hoţ se teme."
"2341","Hoţul de la hoţ învaţă."
"2342","Hoţul jură şi iar fură."
"2343","Hoţul nu se gândeşte la păcat."
"2344","Hoţul prinde pe păgubaş."
"2345","Hoţul zice c-a glumit când vede că l-a zărit."
"2346","Lui tetea curca nu-i place, dar nici în gard n-o lasă."
"2347","Noaptea fură, ziua jură."
"2348","Ori fură, ori ţine sacul, e tot lotru."
"2349","Pentru hoţul cel mare şi ziua şi noaptea-s lucrătoare."
"2350","Pentru un ban furat pierzi o mie din cei munciţi."
"2351","Tâlhar pe tâlhar nu fură."
"2352","Tâlharul cel mic se spânzură şi cel mare scapă."
"2353","Pe tâlharul din casă nu-l vei păzi niciodată."
"2354","Tâlharul niciodată nu se procopseşte."
"2355","Tot ce se fură iese la soare."
"2356","Cel ce are avere e mai zgârcit ca cel ce n-are."
"2357","Cel zgârcit moare cu pâinea-n traistă."
"2358","În casa zgârcitului nici şoarecii nu se duc."
"2359","Îşi mănâncă bucăţica de sub dânsul."
"2360","Zgârcitul îşi mănâncă de sub tălpi."
"2361","Zgârcitul îşi mănâncă de sub unghii."
"2362","Mănâncă numai vinerea, şi atunci de post."
"2363","Pentru o perjă alungă cioara trei hotare, şi dacă n-o prinde, o dă de sufletu' taică-său."
"2364","Pentru un cui pierzi o potcoavă."
"2365","Pune brânza în sticlă şi întinge pe dinafară."
"2366","Zgârcitul pune brânza, laptele în strachină şi întinge aiurea."
"2367","Zgârcitul pune pisica-n fiare când mulge vaca."
"2368","Sacul zgârcitului gură n-are şi al risipitorului fund n-are."
"2369","Scump la tărâţe şi ieftin la făină."
"2370","Scumpii laolaltă nicicând nu se pot înţelege."
"2371","Scumpul, în vis când cheltuieşte, toată ziua se tânguieşte."
"2372","Scumpul nu e stăpân pe banii lui, ci banii îl stăpânesc pe dânsul."
"2373","Zgârcitul e cu brânza în garafă."
"2374","Zgârcitul e cu maţele pestriţe."
"2375","Zgârcitul e dintr-acei ce coc cartoafe în cenuşă udă."
"2376","Zgârcitul leagă paraua cu zece noduri."
"2377","Zgârcitul ar mânca şi mucul lumânării."
"2378","Zgârcitul are nouă baiere la pungă."
"2379","Zgârcitul calcă de două ori într-o urmă."
"2380","Zgârcitul îşi mănâncă negrul de sub unghie."
"2381","Zgârcitul e cu brânza în şip şi cu mămăliga de-mprejur."
"2382","Zgârcitul face mămăligă în burlui şi o scoate cu fusul."
"2383","Scumpul pentru bani ar lua şi pe fata dracului."
"2384","Şi a mâncat lumânarea cu feştilă cu tot."
"2385","Vrea să fie şi grâul scump şi făina ieftină."
"2386","Zgârcitul are două mâini: una lungă, cu care vrea să ia şi alta scurtă, cu care ar vrea să dea."
"2387","Zgârcitul cumpără scump, rău şi prost."
"2388","Zgârcitul e totdeauna sărac."
"2389","Zgârcitul mai mult prăpădeşte şi leneşul mai mult aleargă."
"2390","Zgârcitul numai stângă are, dreapta îi e uscată."
"2391","Zgârcitul orice apucă se usucă."
"2392","Zgârcitul se bucură luând, iar darnicul se mângâie dând."
"2393","Ce mi-e prostul, ce mi-e nebunul."
"2394","De la nebun şi de la beat, adevărul e greu de aflat."
"2395","Omul neslujit e ca lemnul necioplit."
"2396","Omul obraznic merge nepoftit la praznic."
"2397","Fala şi beţia aduc sărăcia."
"2398","La mâncare — lup, la lucru — vulpe."
"2399","La toate porc de câine, numai la treabă dobitoc."
"2400","Obraznicul trage folosul şi fricosul ponosul."
"2401","Râsul are trei fraţi: pe nebun, pe nerod şi pe tine însuţi."
"2402","Supărarea aduce boli rele."
"2403","Unde nu-i frică, ruşinea nu se-ncurcă."
"2404","Viclenia, răutatea şi nebunia - surori sunt."
"2405","Adunările rele strică deprinderile bune."
"2406","E croit rău şi cusut bine."
"2407","E cu suflet viteaz, dar cu trup leneş."
"2408","E îmbrăcat ca domn şi nu are minte de om."
"2409","Mănâncă cinstea cu lingura şi ruşinea cu pumnii."
"2410","Barbă lungă până-n burtă şi minte până-n gât scurtă."
"2411","Bucuria şi scârba sunt două surori care una după alta aleargă."
"2412","Ca femeia biată, nicio vedere mai de plâns."
"2413","Cartea cum o laşi, te lasă şi ea îndată."
"2414","Ce e drept nu-i păcat."
"2415","Ce e frumos la toţi place, dar nu se ştie în el ce zace."
"2416","Ce folos de statul tău, dacă ţi-e năravul rău?"
"2417","Cel înţelept ca albina: din toate alege ce e mai de folos."
"2418","Cu cumpăna dreaptă, dar în mâna stângă."
"2419","Cu ochii pe la icoane şi cu gândul la cucoane."
"2420","De-ar fi Oltu' cât de adânc, tot o să trec să mă duc."
"2421","De departe — trandafir, de aproape — borş cu ştir."
"2422","Dobitocului îi este frică de bici, omului - de cuvânt, iar îndărătnicului - nici de una, nici de alta."
"2423","Face pe prostul, dar îi prinde bine."
"2424","Face treabă cât o gheabă."
"2425","Fericirea şi sărăcia nu pot sta împreună."
"2426","Frumuseţea grăieşte şi când tace."
"2427","Fudulia e soră bună cu prostia."
"2428","Fudulul are doi tovarăşi: prostia şi sărăcia."
"2429","Hoţul învaţă la hoţie şi beţivul la beţie."
"2430","Jocul îi e plăcut, dar de lucru-i cam uituc."
"2431","Minciuna, hoţia şi dragostea nu se pot ascunde niciodată."
"2432","Nu-i frumos cine-i frumos, da-i frumos cine-i drăcos."
"2433","Obraznicu' mănâncă praznicu', ruşinosu' roade osu'."
"2434","Omul şmecher nu-i niciodată om deştept."
"2435","Silinţa taie pânza, iar lenea pierde vremea."
"2436","Şi urâtul şade unora frumos."
"2437","Unde-ai văzut copii buni şi babe frumoase?!"
"2438","Un nebun aruncă o piatră în apă şi zece înţelepţi nu o pot scoate."
"2439","Vicleanul făgăduieşte, nebunul trage nădejde."
"2440","Am eu meşteşug să îmblânzesc şi pe dracul."
"2441","A ajuns un papugiu, ţipă ca un surugiu."
"2442","A greşit croitorul şi s-a spânzurat dulgherul."
"2443","A plecat la muncă călare pe piuă."
"2444","A luat meşterul ilăul, strică bun şi face răul."
"2445","Arătura bună pururea îţi dă în gură."
"2446","A şedea degeaba e păcat."
"2447","Averea crâşmarului e în fundul paharului."
"2448","Când omul se sileşte, şi Dumnezeu îl ajută."
"2449","Cârciumarului îi place beţivul, dar fata după dânsul n-o mărită."
"2450","Cârmaciul bun scapă din furtună."
"2451","Câtă pânză ai lucrat, apusul soarelui ţi-o arată."
"2452","Câte sate a umblat, atâtea meşteşuguri a învăţat."
"2453","Ceasul e bun, până n-a fost pe mâna ceasornicarului."
"2454","Cel ce la seceriş nu se leneveşte, pâinea din gură nu-i lipseşte."
"2455","Cel ce lucrează la pământ, înalţă stoguri pe pământ."
"2456","Cel ce munceşte, acela trebuie să guste mai întâi din muncă."
"2457","Cel ce nu lucrează ziua, flămânzeşte noaptea."
"2458","Chiria deşteaptă pe cărăuş."
"2459","Cine aleargă mult, mănâncă unt."
"2460","Cine are-un meşteşug, nu trage ca vita-n jug."
"2461","Cine lucrează, are, cine şede, rabdă."
"2462","Cine lucrează şi tace, mai multă treabă face."
"2463","Cine mai adânc ară, mai mult cară."
"2464","Cine munceşte, hrană agoniseşte."
"2465","Cine munceşte la tinereţe, are la bătrâneţe."
"2466","Cine munceşte şi învaţă, om deştept devine-n viaţă."
"2467","Cine nu munceşte, nu ştie ce-i odihna."
"2468","Cine nu vrea să lucreze vara, n-are ce mânca iarna."
"2469","Cine şede, coada-i cade, cine mişcă, tot mai pişcă."
"2470","Cine treapădă, capătă."
"2471","Cine voieşte să se îmbogăţească din plug trebuie să-l poarte de coarne."
"2472","Cinsteşte munca câmpului, ca să nu pieri de foame."
"2473","Ciobanul bun păzeşte turma şi noaptea."
"2474","Ciubotarul nu umblă cu încălţăminte bună."
"2475","Cizmarul pentru cizme răspunde, iar nu şi pentru nădragi."
"2476","Cizmarul umblă cu cizmele sparte."
"2477","Cosaşul mai mult face cu cutea decât cu virtutea."
"2478","Croitorul bun nu bucăţeşte materialul."
"2479","Croitorul bun nu leapădă niciun petec."
"2480","Croitorul umblă cu haina descusută."
"2481","Croitorul umblă rupt şi ciubotarul desculţ."
"2482","Cu hărnicia se alungă sărăcia."
